collection,iso3_country,event_count,,collection,iso3_country,event_count,,,collection,iso3_country,event_count,,,collection,iso3_country,event_count,,,collection,iso3_country,event_count,,collection,iso3_country,event_count,,collection,iso3_country,event_count,,collection,iso3_country,event_count,,collection,iso3_country,event_count,,collection,iso3_country,event_count
gfd-events, COD,16,,ifrcevent-events,PRT,1,,,glide-events,PER,87,,,idmc-gidd-events,CHN,80,,,,,,,idmc-idu-events,CPV,2,,pdc-events,MLI,30,,gdacs-events,KGZ,33,,emdat-events,ROU,124,,desinventar-events,HND,10584
gfd-events, UGA,17,,ifrcevent-events,ROU,12,,,glide-events,TZA,72,,,idmc-gidd-events,ITA,66,,,,,,,idmc-idu-events,SSD,132,,pdc-events,SEN,1,,gdacs-events,KEN,79,,emdat-events,CIV,50,,desinventar-events,BOL,4646
gfd-events, TZA,29,,ifrcevent-events,POL,2,,,glide-events,USA,420,,,idmc-gidd-events,CRI,25,,,,,,,idmc-idu-events,TUR,110,,pdc-events,MKD,33,,gdacs-events,VNM,121,,emdat-events,CYP,20,,desinventar-events,BFA,1326
gfd-events, ZMB,20,,ifrcevent-events,VNM,38,,,glide-events,AGO,48,,,idmc-gidd-events,SLV,26,,,,,,,idmc-idu-events,FRA,137,,pdc-events,SRB,14,,gdacs-events,VUT,166,,emdat-events,PAK,496,,desinventar-events,SLV,6035
gfd-events, BDI,16,,ifrcevent-events,PAK,34,,,glide-events,VUT,37,,,idmc-gidd-events,GBR,25,,,,,,,idmc-idu-events,SOM,498,,pdc-events,ROU,20,,gdacs-events,COL,244,,emdat-events,BGD,570,,desinventar-events,SEN,728
gfd-events, RWA,16,,ifrcevent-events,BDI,13,,,glide-events,ARM,18,,,idmc-gidd-events,SWZ,4,,,,,,,idmc-idu-events,ETH,113,,pdc-events,BGR,40,,gdacs-events,MDV,8,,emdat-events,HKG,125,,desinventar-events,VCT,363
gfd-events,TUR,32,,ifrcevent-events,SSD,8,,,glide-events,LBY,12,,,idmc-gidd-events,MLI,7,,,,,,,idmc-idu-events,CHL,93,,pdc-events,KSV,12,,gdacs-events,ARG,323,,emdat-events,PHL,927,,desinventar-events,LCA,224
gfd-events, ITA,26,,ifrcevent-events,NGA,24,,,glide-events,COM,14,,,idmc-gidd-events,LBY,9,,,,,,,idmc-idu-events,PAK,208,,pdc-events,MNE,10,,gdacs-events,IND,1213,,emdat-events,MAC,9,,desinventar-events,MLI,3893
gfd-events, UKR,16,,ifrcevent-events,BRB,1,,,glide-events,ZWE,41,,,idmc-gidd-events,NIC,9,,,,,,,idmc-idu-events,KGZ,23,,pdc-events,ALB,48,,gdacs-events,MYT,1,,emdat-events,IRQ,59,,desinventar-events,CHL,10852
gfd-events, ROU,23,,ifrcevent-events,GRD,1,,,glide-events,SYR,28,,,idmc-gidd-events,MEX,100,,,,,,,idmc-idu-events,ROU,18,,pdc-events,NLD,5,,gdacs-events,COM,7,,emdat-events,LAO,60,,desinventar-events,GRD,162
gfd-events, GRC,22,,ifrcevent-events,JAM,11,,,glide-events,GAB,11,,,idmc-gidd-events,UGA,172,,,,,,,idmc-idu-events,NGA,135,,pdc-events,DEU,31,,gdacs-events,MOZ,262,,emdat-events,MEX,484,,desinventar-events,URY,2663
gfd-events, BGR,32,,ifrcevent-events,VCT,5,,,glide-events,LKA,77,,,idmc-gidd-events,HND,156,,,,,,,idmc-idu-events,BGR,12,,pdc-events,CZE,9,,gdacs-events,MDG,104,,emdat-events,FRA,290,,desinventar-events,MEX,33204
gfd-events, SRB,37,,ifrcevent-events,LBR,10,,,glide-events,BLZ,21,,,idmc-gidd-events,COL,268,,,,,,,idmc-idu-events,ALB,6,,pdc-events,SVN,7,,gdacs-events,FRA,117,,emdat-events,NPL,207,,desinventar-events,NPL,23765
